"Not defined..."
"Alaa Abdelnaby","Power Forward","Duke","Portland Trail Blazers","25th pick","1968-06-24","54","1990","5"
"Zaid Abdul-Aziz","Center and Power Forward","Iowa State","Cincinnati Royals","5th pick","1946-04-07","76","1968","10"
